gene_name	gamma2	GAP kcat / GEF kcat	GAP_kcat	GAP_kcat_Km	GAP_Km	GAP/GEF efficiency	GEF_kcat	GEF_kcat_Km	GEF_Km
ECM33	-0.022099784804393195	0.06719367588932806	-0.11462450592885376	-0.03557312252964427	-0.02766798418972332	0.05138339920948617	-0.15841615217391916	-0.043478260869565216	-0.07128726847826362
ECM5	-0.11049892402196597	-0.02766798418972332	0.02766798418972332	-0.11462450592885376	0.19367588932806323	-0.2964426877470356	-0.023762422826087874	0.24110671936758893	-0.023762422826087874
ECM8	0.06629935441317958	-0.1857707509881423	0.1857707509881423	0.2490118577075099	-0.233201581027668	0.16205533596837945	0.2613866510869666	-0.07509881422924901	0.11881211413043936
EDC3	-0.06629935441317958	0.1225296442687747	-0.05928853754940711	-0.16996047430830039	0.2015810276679842	-0.2885375494071146	-0.19802019021739894	0.2964426877470356	-0.14257453695652725
EDE1	0.2651974176527183	-0.011857707509881422	0.1067193675889328	0.09090909090909091	-0.02766798418972332	-0.05928853754940711	0.023762422826087874	0.05138339920948617	0.06336646086956767
EFT2	0.04419956960878639	-0.2015810276679842	-0.4308300395256917	-0.05138339920948617	-0.1067193675889328	0.05138339920948617	0.07128726847826362	-0.07509881422924901	0.07920807608695958
EGD1	-0.3756963416746843	-0.11462450592885376	0.003952569169960474	-0.043478260869565216	0.1067193675889328	-0.16205533596837945	0.0950496913043515	0.1383399209486166	0.023762422826087874
ELA1	0.08839913921757278	-0.1857707509881423	0.1067193675889328	-0.13043478260869565	0.19367588932806323	0.06719367588932806	0.22970342065218277	-0.21739130434782608	0.3009906891304464
ELC1	0.19889806323953874	0.2885375494071146	0.3438735177865613	-0.03557312252964427	0.14624505928853754	-0.1383399209486166	-0.11881211413043936	0.19367588932806323	-0.12673292173913533
ELF1	-0.022099784804393195	0.1383399209486166	0.05138339920948617	-0.1225296442687747	0.1857707509881423	-0.25691699604743085	-0.1346537293478313	0.2648221343873518	-0.11089130652174341
ELG1	0.08839913921757278	-0.03557312252964427	0.20948616600790515	0.019762845849802372	0.05928853754940711	0.1067193675889328	0.11881211413043936	-0.08300395256916997	0.11089130652174341
ELM1	0	0.011857707509881422	-0.07509881422924901	-0.1225296442687747	0.1857707509881423	-0.25691699604743085	-0.11089130652174341	0.1541501976284585	-0.07920807608695958
ELO2	-0.3093969872615047	-0.05138339920948617	-0.1541501976284585	-0.2964426877470356	0.2648221343873518	-0.13043478260869565	-0.007920807608695958	0.02766798418972332	-0.015841615217391917
ELP2	-0.2872972024571115	-0.02766798418972332	-0.13043478260869565	-0.383399209486166	0.4308300395256917	-0.2964426877470356	-0.11089130652174341	0.20948616600790515	0
ELP3	-0.15469849363075236	0.02766798418972332	-0.05928853754940711	-0.31225296442687744	0.37549407114624506	-0.2885375494071146	-0.16633695978261512	0.16996047430830039	0
ELP4	-0.13259870882635916	0.1067193675889328	-0.09090909090909091	-0.32806324110671936	0.32806324110671936	-0.30434782608695654	-0.24554503586957468	0.233201581027668	-0.0950496913043515
ELP6	-0.3093969872615047	0.02766798418972332	-0.1067193675889328	-0.32806324110671936	0.37549407114624506	-0.383399209486166	-0.18217857500000703	0.2964426877470356	-0.07920807608695958
