ORF	Gene	gene_set	set_label
YJR053W	BFA1	mitotic exit	curated_processes
YER016W	BIM1	mitotic exit	curated_processes
YMR055C	BUB2	mitotic exit	curated_processes
YFR028C	CDC14	mitotic exit	curated_processes
YAR019C	CDC15	mitotic exit	curated_processes
YGL190C	CDC55	mitotic exit	curated_processes
YGL003C	CDH1	mitotic exit	curated_processes
YGR092W	DBF2	mitotic exit	curated_processes
YPR111W	DBF20	mitotic exit	curated_processes
YGR098C	ESP1	mitotic exit	curated_processes
YPL209C	IPL1	mitotic exit	curated_processes
YHR158C	KEL1	mitotic exit	curated_processes
YGR238C	KEL2	mitotic exit	curated_processes
YOR233W	KIN4	mitotic exit	curated_processes
YAL024C	LTE1	mitotic exit	curated_processes
YIL106W	MOB1	mitotic exit	curated_processes
YDL028C	MPS1	mitotic exit	curated_processes
YHR124W	NDT80	mitotic exit	curated_processes
YJL076W	NET1	mitotic exit	curated_processes
YDL042C	SIR2	mitotic exit	curated_processes
YNR009W	NRM1	mitotic exit	curated_processes
YOR373W	NUD1	mitotic exit	curated_processes
YDL089W	NUR1	mitotic exit	curated_processes
YDR113C	PDS1	mitotic exit	curated_processes
YHR152W	SPO12	mitotic exit	curated_processes
YDR260C	SWM1	mitotic exit	curated_processes
YDR260C	TEM1	mitotic exit	curated_processes
YMR273C	ZDS1	mitotic exit	curated_processes
YML109W	ZDS2	mitotic exit	curated_processes
YDR101C	ARX1	general nuclear export	curated_processes
YDR361C	BCP1	general nuclear export	curated_processes
YLR074C	BUD20	general nuclear export	curated_processes
YCR047C	BUD23	general nuclear export	curated_processes
YOR112W	CEX1	general nuclear export	curated_processes
YGL238W	CSE1	general nuclear export	curated_processes
YGR218W	CRM1	general nuclear export	curated_processes
YDL207W	GLE1	general nuclear export	curated_processes
YER107C	GLE2	general nuclear export	curated_processes
YKL205W	LOS1	general nuclear export	curated_processes
YDR060W	MAK21	general nuclear export	curated_processes
YLR368W	MDM30	general nuclear export	curated_processes
YGR264C	MES1	general nuclear export	curated_processes
YPL169C	MEX67	general nuclear export	curated_processes
YHR015W	MIP6	general nuclear export	curated_processes
YDR335W	MSN5	general nuclear export	curated_processes
YOR160W	MTR10	general nuclear export	curated_processes
YKL186C	MTR2	general nuclear export	curated_processes
YGL122C	NAB2	general nuclear export	curated_processes
YHR170W	NMD3	general nuclear export	curated_processes
YPR144C	NOC4	general nuclear export	curated_processes
YNR053C	NOG2	general nuclear export	curated_processes
YDL148C	NOP14	general nuclear export	curated_processes
YER006W	NUG1	general nuclear export	curated_processes
YKR002W	PAP1	general nuclear export	curated_processes
YPL212C	PUS1	general nuclear export	curated_processes
YLR106C	REA1	general nuclear export	curated_processes
