library.ORF	score_min	score_max	score_range	library.gene_name
YNL136W	-8.42252	2.784955	11.207475	EAF7
YAL026C	-8.147303	3.001726	11.149029	DRS2
YDR485C	-9.7142	1.400174	11.114374	VPS72
YHR021C	-6.881753	4.218318	11.100071	RPS27B
YGR229C	-8.275492	2.816952	11.092444	SMI1
YNL051W	-9.525392	1.500505	11.025897	COG5
YPL158C	-5.977299	5.047514	11.024813	AIM44
YDR388W	-8.723442	2.278157	11.001599	RVS167
YIL112W	-9.318715	1.641158	10.959872999999998	HOS4
YDL130W	-6.845376	4.11132	10.956696	RPP1B
YKL023W	-8.842399	2.016446	10.858845	YKL023W
YJR043C	-7.428367	3.405277	10.833644	POL32
YMR216C	-4.431975	6.335155	10.767130000000002	SKY1
YER151C	-7.835422	2.930598	10.766020000000001	UBP3
YGL078C	-6.917333	3.81935	10.736683	DBP3
YOR371C	-9.559117	1.121146	10.680263	GPB1
YKR019C	-8.650093	1.990413	10.640506	IRS4
YBR231C	-6.720207	3.919957	10.640164	SWC5
YOR344C	-9.631298	0.970178	10.601476	TYE7
YLR182W	-5.703466	4.821498	10.524964	SWI6
YGR134W	-7.668633	2.78624	10.454873	CAF130
YML112W	-7.553487	2.889424	10.442910999999999	CTK3
YLR006C	-6.778024	3.633114	10.411138000000001	SSK1
YOR034C	-8.441587	1.963396	10.404983	AKR2
YKR054C	-7.365289	2.997049	10.362338	DYN1
YGR200C	-6.651956	3.683168	10.335124	ELP2
YFR009W	-6.978997	3.35255	10.331547	GCN20
YNL041C	-8.437899	1.879527	10.317426	COG6
YNL199C	-7.410463	2.851934	10.262397	GCR2
YGL019W	-6.214645	4.044443	10.259088	CKB1
YGL167C	-6.347949	3.774468	10.122417	PMR1
YKR029C	-7.02926	3.031196	10.060456	SET3
YHL031C	-7.271434	2.757331	10.028765	GOS1
YNR031C	-6.547451	3.475245	10.022696	SSK2
YKR072C	-3.31994	6.669009	9.988949	SIS2
YML051W	-2.281482	7.637054	9.918536	GAL80
YKR020W	-7.421006	2.472701	9.893707	VPS51
YLR435W	-3.975035	5.91113	9.886165	TSR2
YNL153C	-7.120187	2.750068	9.870255	GIM3
YML063W	-2.016114	7.800488	9.816602	RPS1B
YGR214W	-3.704586	6.057242	9.761828	RPS0A
YPR023C	-5.604261	4.12942	9.733681	EAF3
YOR025W	-7.275539	2.452705	9.728244	HST3
YLR113W	-6.148697	3.548287	9.696984	HOG1
YHR066W	-6.078871	3.611861	9.690732	SSF1
YFL007W	-8.194416	1.487064	9.68148	BLM10
YPL139C	-3.665176	5.986229	9.651405	UME1
YNR020C	-7.00701	2.629281	9.636291	ATP23
YEL031W	-5.517494	4.118729	9.636223000000001	SPF1
YGL244W	-6.093789	3.530227	9.624016000000001	RTF1
YDL082W	-4.976612	4.63009	9.606702	RPL13A
YIR033W	-7.472454	2.053521	9.525974999999999	MGA2
YDR488C	-7.418708	2.091009	9.509717	PAC11
YER177W	-6.588026	2.917706	9.505732	BMH1
YJL062W	-4.683896	4.792178	9.476074	LAS21
YBR181C	-4.456156	4.991912	9.448068	RPS6B
YDR176W	-4.776426	4.665479	9.441905	NGG1
YIL037C	-7.128126	2.271409	9.399535	PRM2
YLL049W	-4.862463	4.427051	9.289514	LDB18
YBL047C	-7.587952	1.695337	9.283289	EDE1
YLR452C	-5.117244	4.165401	9.282645	SST2
YOL018C	-5.871316	3.341816	9.213132	TLG2
YOR269W	-6.516564	2.688544	9.205108	PAC1
YDL076C	-6.477701	2.71783	9.195530999999999	RXT3
YNL053W	-8.024503	1.147625	9.172127999999999	MSG5
YNL271C	-5.004503	4.158471	9.162973999999998	BNI1
YDR069C	-5.101119	4.024926	9.126045	DOA4
YOR026W	-6.26924	2.839717	9.108957	BUB3
YKL139W	-7.838967	1.269878	9.108845	CTK1
YHR194W	-6.00052	3.105253	9.105773	MDM31
YHR158C	-8.062401	1.028653	9.091054	KEL1
YDR072C	-0.958661	8.075931	9.034592	IPT1
YDR386W	-7.475153	1.538737	9.01389	MUS81
YAL055W	-7.998868	0.978655	8.977523	PEX22
YAL023C	-2.964515	6.008204	8.972719	PMT2
YOR355W	-4.73879	4.215633	8.954423	GDS1
YPR120C	-7.604387	1.349503	8.95389	CLB5
YOL041C	-5.360534	3.57605	8.936584	NOP12
YLR079W	-3.527042	5.361581	8.888622999999999	SIC1
YPL157W	-5.385991	3.484688	8.870678999999999	TGS1
YLR087C	-3.401879	5.468391	8.87027	CSF1
YLR181C	-7.572527	1.270979	8.843506	VTA1
YCL016C	-6.617482	2.224276	8.841758	DCC1
YLR114C	-4.007728	4.832031	8.839759	AVL9
YGL003C	-5.486083	3.343311	8.829394	CDH1
YOR113W	-7.307068	1.507696	8.814764	AZF1
YER161C	-7.509461	1.294484	8.803945	SPT2
YLL045C	-3.476456	5.316214	8.792670000000001	RPL8B
YLR110C	-3.366343	5.414442	8.780785	CCW12
YGL005C	-6.531316	2.239057	8.770373	COG7
YDR448W	-4.998548	3.756217	8.754765	ADA2
YLR055C	-2.186991	6.516716	8.703707	SPT8
YDL061C	-3.442493	5.259798	8.702290999999999	RPS29B
YHL025W	-3.420534	5.244825	8.665358999999999	SNF6
YPL101W	-5.14822	3.511297	8.659517000000001	ELP4
YBR290W	-6.902465	1.739391	8.641856	BSD2
YOR358W	-5.211829	3.424299	8.636128	HAP5
YKL204W	-7.12038	1.495042	8.615422	EAP1
YGR252W	-3.988649	4.621957	8.610606	GCN5
YDR108W	-7.260883	1.333697	8.59458	TRS85
YPL269W	-7.423296	1.153936	8.577232	KAR9
YMR073C	-3.823653	4.75272	8.576373	IRC21
YBR094W	-6.379024	2.190623	8.569647	PBY1
YJR075W	-6.688151	1.879118	8.567269	HOC1
YNR004W	-5.114708	3.440301	8.555009	SWM2
YDR192C	-5.892228	2.654921	8.547149000000001	NUP42
YML071C	-6.103068	2.443422	8.54649	COG8
YIL008W	-5.345739	3.193047	8.538786	URM1
YLR091W	-2.685842	5.841171	8.527013	GEP5
YML124C	-6.615212	1.910561	8.525773	TUB3
YAR018C	-6.635446	1.877374	8.51282	KIN3
YGR188C	-7.381563	1.128659	8.510222	BUB1
YLL021W	-5.745242	2.756067	8.501309	SPA2
YDR424C	-6.008012	2.450041	8.458053	DYN2
YMR263W	-3.437845	5.019493	8.457338	SAP30
YHR178W	-4.881111	3.563168	8.444279	STB5
YCL011C	-1.224849	7.207189	8.432038	GBP2
YLR015W	-2.206338	6.216363	8.422701	BRE2
