ORF	term
YDR207C	budding
YDR208W	budding
YDR218C	budding
YDR251W	budding
YDR254W	budding
YDR260C	budding
YDR260C	budding
YDR273W	budding
YDR285W	budding
YDR293C	budding
YDR309C	budding
YDR309C	budding
YDR318W	budding
YDR325W	budding
YDR328C	budding
YDR348C	budding
YDR356W	budding
YDR363W	budding
YDR369C	budding
YDR369C	budding
YDR371W	budding
YDR379W	budding
YDR386W	budding
YDR402C	budding
YDR403W	budding
YDR419W	budding
YDR439W	budding
YDR440W	budding
YDR446W	budding
YDR457W	budding
YDR506C	budding
YDR507C	budding
YDR507C	budding
YDR508C	budding
YDR512C	budding
YDR516C	budding
YDR522C	budding
YDR523C	budding
YEL040W	budding
YEL060C	budding
YEL061C	budding
YER008C	budding
YER016W	budding
YER020W	budding
YER032W	budding
YER033C	budding
YER044C-A	budding
YER046W	budding
YER075C	budding
YER095W	budding
YER096W	budding
YER106W	budding
YER114C	budding
YER114C	budding
YER115C	budding
YER118C	budding
YER120W	budding
YER124C	budding
YER125W	budding
YER132C	budding
YER133W	budding
YER133W	budding
YER133W	budding
YER133W	budding
YER144C	budding
YER147C	budding
YER149C	budding
YER149C	budding
YER155C	budding
YER166W	budding
YER173W	budding
YER177W	budding
YER177W	budding
YER179W	budding
YER180C	budding
YFL003C	budding
YFL005W	budding
YFL005W	budding
YFL008W	budding
YFL009W	budding
YFL029C	budding
YFL033C	budding
YFL034C-B	budding
YFL034C-B	budding
YFL037W	budding
YFL039C	budding
YFL039C	budding
YFL039C	budding
YFL047W	budding
YFR003C	budding
YFR004W	budding
YFR016C	budding
YFR024C-A	budding
YFR027W	budding
YFR028C	budding
YFR031C	budding
YFR039C	budding
YGL003C	budding
YGL021W	budding
YGL033W	budding
YGL045W	budding
YGL054C	budding
YGL054C	budding
YGL058W	budding
YGL060W	budding
YGL071W	budding
YGL086W	budding
YGL093W	budding
YGL099W	budding
YGL106W	budding
YGL116W	budding
YGL127C	budding
YGL158W	budding
YGL170C	budding
YGL175C	budding
YGL181W	budding
YGL183C	budding
YGL190C	budding
YGL190C	budding
YGL192W	budding
YGL194C	budding
YGL197W	budding
YGL210W	budding
YGL213C	budding
YGL216W	budding
YGL228W	budding
YGL233W	budding
YGL249W	budding
YGL250W	budding
YGL251C	budding
YGR009C	budding
YGR032W	budding
YGR032W	budding
YGR040W	budding
YGR041W	budding
YGR044C	budding
YGR056W	budding
YGR058W	budding
YGR058W	budding
YGR059W	budding
YGR092W	budding
YGR092W	budding
YGR098C	budding
YGR108W	budding
YGR140W	budding
YGR152C	budding
YGR152C	budding
YGR188C	budding
YGR221C	budding
YGR221C	budding
YGR225W	budding
YGR225W	budding
YGR229C	budding
YGR230W	budding
YGR238C	budding
YGR238C	budding
YGR241C	budding
YHL007C	budding
YHL007C	budding
YHL022C	budding
YHL023C	budding
YHL024W	budding
YHL024W	budding
YHL027W	budding
YHL027W	budding
YHR014W	budding
YHR023W	budding
YHR030C	budding
YHR039C	budding
YHR061C	budding
YHR061C	budding
YHR079C-A	budding
YHR102W	budding
YHR102W	budding
YHR107C	budding
YHR111W	budding
YHR114W	budding
YHR115C	budding
YHR119W	budding
YHR119W	budding
YHR124W	budding
YHR127W	budding
YHR129C	budding
YHR139C	budding
YHR142W	budding
YHR149C	budding
YHR152W	budding
YHR153C	budding
YHR153C	budding
YHR157W	budding
YHR158C	budding
YHR158C	budding
YHR161C	budding
YHR182W	budding
YHR184W	budding
YHR185C	budding
YHR191C	budding
YIL008W	budding
YIL017C	budding
YIL026C	budding
YIL031W	budding
YIL034C	budding
YIL065C	budding
YIL068C	budding
YIL072W	budding
YIL073C	budding
YIL106W	budding
YIL106W	budding
YIL112W	budding
YIL118W	budding
YIL120W	budding
YIL126W	budding
YIL129C	budding
YIL129C	budding
YIL132C	budding
YIL138C	budding
YIL138C	budding
YIL140W	budding
YIL140W	budding
YIL153W	budding
YIL159W	budding
YIR004W	budding
YIR006C	budding
YIR006C	budding
YIR010W	budding
YIR019C	budding
YIR025W	budding
YIR026C	budding
YIR026C	budding
YJL013C	budding
YJL019W	budding
YJL030W	budding
YJL037W	budding
YJL038C	budding
YJL047C	budding
YJL048C	budding
YJL051W	budding
YJL074C	budding
YJL074C	budding
YJL076W	budding
YJL080C	budding
YJL085W	budding
YJL095W	budding
YJL106W	budding
YJL112W	budding
YJL128C	budding
YJL146W	budding
YJL158C	budding
YJL168C	budding
YJL168C	budding
YJL173C	budding
YJL187C	budding
YJL187C	budding
YJL204C	budding
YJR005W	budding
YJR021C	budding
YJR031C	budding
YJR053W	budding
YJR058C	budding
YJR066W	budding
YJR072C	budding
YJR076C	budding
YJR089W	budding
YJR090C	budding
YJR092W	budding
YJR092W	budding
YJR094C	budding
YJR135C	budding
YKL007W	budding
YKL046C	budding
YKL046C	budding
YKL048C	budding
YKL048C	budding
YKL049C	budding
YKL052C	budding
YKL079W	budding
YKL089W	budding
YKL092C	budding
YKL092C	budding
YKL092C	budding
YKL096W	budding
YKL101W	budding
YKL126W	budding
YKL129C	budding
YKL130C	budding
YKL172W	budding
YKL185W	budding
YKL189W	budding
YKL189W	budding
YKR001C	budding
YKR020W	budding
YKR029C	budding
YKR031C	budding
YKR036C	budding
YKR048C	budding
YKR054C	budding
YKR055W	budding
YKR088C	budding
YKR089C	budding
YKR090W	budding
YKR100C	budding
YLL001W	budding
YLL005C	budding
YLL021W	budding
YLL021W	budding
YLL028W	budding
YLL033W	budding
YLL039C	budding
YLL040C	budding
YLR028C	budding
YLR035C	budding
YLR045C	budding
YLR054C	budding
YLR084C	budding
YLR086W	budding
YLR110C	budding
YLR114C	budding
YLR127C	budding
YLR135W	budding
YLR166C	budding
YLR182W	budding
YLR187W	budding
YLR189C	budding
YLR190W	budding
YLR194C	budding
YLR210W	budding
YLR212C	budding
YLR213C	budding
YLR219W	budding
YLR226W	budding
YLR227C	budding
YLR229C	budding
YLR229C	budding
YLR229C	budding
YLR234W	budding
YLR243W	budding
YLR248W	budding
YLR263W	budding
YLR269C	budding
YLR272C	budding
YLR286C	budding
YLR307W	budding
YLR308W	budding
YLR313C	budding
YLR313C	budding
YLR314C	budding
YLR319C	budding
