ORF	Gene_uniq	cluster	gene_name
YNL021W	YNL021W	17	HDA1
YNL086W	YNL086W	17	SNN1
YNL106C	YNL106C	17	INP52
YNL294C	YNL294C	17	RIM21
YNR006W	YNR006W	17	VPS27
YOR030W	YOR030W	17	DFG16
YOR043W	YOR043W	17	WHI2
YOR089C	YOR089C	17	VPS21
YOR275C	YOR275C	17	RIM20
YPR173C	YPR173C	17	VPS4
YAL021C	YAL021C_DAMP	16	CCR4
YBL078C	YBL078C	16	ATG8
YBR025C	YBR025C	16	OLA1
YBR034C	YBR034C	16	HMT1
YCR027C	YCR027C	16	RHB1
YDL122W	YDL122W	16	UBP1
YDL190C	YDL190C	16	UFD2
YDR009W	YDR009W	16	GAL3
YDR069C	YDR069C_DAMP	16	DOA4
YDR122W	YDR122W	16	KIN1
YDR257C	YDR257C	16	RKM4
YDR332W	YDR332W	16	IRC3
YEL047C	YEL047C	16	FRD1
YER075C	YER075C	16	PTP3
YER089C	YER089C	16	PTC2
YFL011W	YFL011W	16	HXT10
YFR053C	YFR053C	16	HXK1
YGL060W	YGL060W	16	YBP2
YGR134W	YGR134W	16	CAF130
YHL009C	YHL009C	16	YAP3
YHR001W-A	YHR001W-A	16	QCR10
YHR181W	YHR181W	16	SVP26
YHR185C	YHR185C	16	PFS1
YIL038C	YIL038C	16	NOT3
YIL047C	YIL047C	16	SYG1
YIL138C	YIL138C	16	TPM2
YKL211C	YKL211C	16	TRP3
YKR067W	YKR067W	16	GPT2
YKR077W	YKR077W	16	MSA2
YLR421C	YLR421C	16	RPN13
YML072C	YML072C	16	TCB3
YMR119W	YMR119W	16	ASI1
YMR247C	YMR247C	16	RKR1
YMR284W	YMR284W	16	YKU70
YOL011W	YOL011W	16	PLB3
YOR124C	YOR124C	16	UBP2
YOR307C	YOR307C	16	SLY41
YOR321W	YOR321W	16	PMT3
YPR009W	YPR009W	16	SUT2
YPR106W	YPR106W	16	ISR1
YBL007C	YBL007C	15	SLA1
YBL047C	YBL047C	15	EDE1
YBL061C	YBL061C	15	SKT5
YBR023C	YBR023C	15	CHS3
YBR078W	YBR078W	15	ECM33
YBR083W	YBR083W	15	TEC1
YBR260C	YBR260C	15	RGD1
YCR009C	YCR009C	15	RVS161
YDL117W	YDL117W	15	CYK3
YDL203C	YDL203C	15	ACK1
YDR276C	YDR276C	15	PMP3
YDR293C	YDR293C	15	SSD1
YDR388W	YDR388W	15	RVS167
YER149C	YER149C	15	PEA2
YER155C	YER155C	15	BEM2
YGR196C	YGR196C	15	FYV8
YGR217W	YGR217W	15	CCH1
YGR229C	YGR229C	15	SMI1
YHR030C	YHR030C	15	SLT2
YHR142W	YHR142W	15	CHS7
YJL095W	YJL095W	15	BCK1
YJL099W	YJL099W	15	CHS6
YJL187C	YJL187C	15	SWE1
YJR118C	YJR118C	15	ILM1
YKL079W	YKL079W	15	SMY1
YKR042W	YKR042W	15	UTH1
YLL021W	YLL021W	15	SPA2
YLR110C	YLR110C	15	CCW12
YML117W	YML117W	15	NAB6
YNL079C	YNL079C	15	TPM1
