ORF	cluster	gene_name
YLR154C	22	RNH203
YML007W	22	YAP1
YML028W	22	TSA1
YML098W	22	TAF13
YML112W	22	CTK3
YML123C	22	PHO84
YMR038C	22	CCS1
YMR048W	22	CSM3
YMR078C	22	CTF18
YNL072W	22	RNH201
YNL218W	22	MGS1
YNL273W	22	TOF1
YOR144C	22	ELG1
YPL008W	22	CHL1
YPR135W	22	CTF4
YBL024W	21	NCL1
YBL058W	21	SHP1
YBR107C	21	IML3
YDR014W	21	RAD61
YDR254W	21	CHL4
YDR318W	21	MCM21
YEL056W	21	HAT2
YEL061C	21	CIN8
YER016W	21	BIM1
YER068W	21	MOT2
YFR048W	21	RMD8
YGL086W	21	MAD1
YGL213C	21	SKI8
YGR092W	21	DBF2
YGR184C	21	UBR1
YGR188C	21	BUB1
YJL013C	21	MAD3
YJL030W	21	MAD2
YJL208C	21	NUC1
YJR135C	21	MCM22
YKL023W	21	YKL023W
YLR180W	21	SAM1
YLR401C	21	DUS3
YMR138W	21	CIN4
YMR198W	21	CIK1
YNL030W	21	HHF2
YOR014W	21	RTS1
YOR026W	21	BUB3
YOR076C	21	SKI7
YOR195W	21	SLK19
YPL017C	21	IRC15
YPL018W	21	CTF19
YPL253C	21	VIK1
YPR046W	21	MCM16
YPR141C	21	KAR3
YPR189W	21	SKI3
YAL019W	20	FUN30
YAL026C	20	DRS2
YBR164C	20	ARL1
YBR288C	20	APM3
YDL099W	20	BUG1
YDL100C	20	GET3
YDL115C	20	IWR1
YDR451C	20	YHP1
YEL043W	20	YEL043W
YGL054C	20	ERV14
YGR089W	20	NNF2
YGR261C	20	APL6
YHL020C	20	OPI1
YHL031C	20	GOS1
YJL004C	20	SYS1
YJL024C	20	APS3
YJL029C	20	VPS53
YJL036W	20	SNX4
YJL123C	20	MTC1
YJR032W	20	CPR7
YJR060W	20	CBF1
YJR125C	20	ENT3
YKR020W	20	VPS51
YKR030W	20	GMH1
YLL040C	20	VPS13
YMR274C	20	RCE1
YMR292W	20	GOT1
YNL183C	20	NPR1
YNL288W	20	CAF40
YNL297C	20	MON2
YOL111C	20	MDY2
YOR112W	20	CEX1
YOR216C	20	RUD3
YPL037C	20	EGD1
YPL051W	20	ARL3
YPL120W	20	VPS30
YPL195W	20	APL5
YBL052C	19	SAS3
YCR065W	19	HCM1
YCR077C	19	PAT1
YDL070W	19	BDF2
YDR099W	19	BMH2
YDR176W	19	NGG1
YDR378C	19	LSM6
YDR443C	19	SSN2
YEL003W	19	GIM4
YER007W	19	PAC2
YER151C	19	UBP3
YER177W	19	BMH1
YGL014W	19	PUF4
YGL174W	19	BUD13
YGR078C	19	PAC10
YGR270W	19	YTA7
YIR005W	19	IST3
YJL124C	19	LSM1
YKL074C	19	MUD2
YLR426W	19	TDA5
YML094W	19	GIM5
YML124C	19	TUB3
YNL025C	19	SSN8
YNL147W	19	LSM7
YNL153C	19	GIM3
YNR004W	19	SWM2
YNR051C	19	BRE5
YOL054W	19	PSH1
YOR064C	19	YNG1
YOR308C	19	SNU66
YOR349W	19	CIN1
YPL122C	19	TFB2
YPL157W	19	TGS1
YPL213W	19	LEA1
YPL241C	19	CIN2
YPR031W	19	NTO1
YPR057W	19	BRR1
YAR002W	18	NUP60
YBL008W	18	HIR1
YBR094W	18	PBY1
YBR098W	18	MMS4
YBR215W	18	HPC2
YDL013W	18	SLX5
YDL226C	18	GCS1
YDR121W	18	DPB4
YDR159W	18	SAC3
YDR315C	18	IPK1
YDR386W	18	MUS81
YER031C	18	YPT31
YER116C	18	SLX8
YFR019W	18	FAB1
YGL043W	18	DST1
YGL133W	18	ITC1
YHR167W	18	THP2
YIL149C	18	MLP2
YJR066W	18	TOR1
YJR140C	18	HIR3
YKR082W	18	NUP133
YKR095W	18	MLP1
YKR101W	18	SIR1
YLR033W	18	RSC58
YLR410W	18	VIP1
YML034W	18	SRC1
YML062C	18	MFT1
YMR202W	18	ERG2
YMR219W	18	ESC1
YNL199C	18	GCR2
YNL325C	18	FIG4
YNR010W	18	CSE2
YOR038C	18	HIR2
YOR080W	18	DIA2
YOR174W	18	MED4
YOR304W	18	ISW2
YPR070W	18	MED1
YPR167C	18	MET16
YAL011W	17	SWC3
YBR231C	17	SWC5
YBR255W	17	MTC4
YCL029C	17	BIK1
YCL037C	17	SRO9
YCR082W	17	AHC2
YCR086W	17	CSM1
YDR150W	17	NUM1
YDR293C	17	SSD1
YDR334W	17	SWR1
YDR424C	17	DYN2
YDR439W	17	LRS4
YDR485C	17	VPS72
YDR488C	17	PAC11
YHR114W	17	BZZ1
YHR129C	17	ARP1
YHR151C	17	MTC6
YIL095W	17	PRK1
YJL081C	17	ARP4
YJL157C	17	FAR1
YJR126C	17	VPS70
YKL025C	17	PAN3
YKL092C	17	BUD2
YKR010C	17	TOF2
YKR054C	17	DYN1
YLL049W	17	LDB18
YLR085C	17	ARP6
YML041C	17	VPS71
YMR294W	17	JNM1
YMR299C	17	DYN3
YNL107W	17	YAF9
YNL136W	17	EAF7
YOL012C	17	HTZ1
YOR023C	17	AHC1
YOR264W	17	DSE3
YOR265W	17	RBL2
YOR266W	17	PNT1
YOR269W	17	PAC1
YPL155C	17	KIP2
YPL174C	17	NIP100
YBR031W	16	RPL4A
YBR126C	16	TPS1
YBR131W	16	CCZ1
YDL077C	16	VAM6
YDL185W	16	VMA1
YDR080W	16	VPS41
YDR202C	16	RAV2
YDR421W	16	ARO80
YGL124C	16	MON1
YGL212W	16	VAM7
YGL253W	16	HXK2
YGR105W	16	VMA21
YGR202C	16	PCT1
YHR039C	16	MSC7
YIL030C	16	SSM4
YIR033W	16	MGA2
YJL117W	16	PHO86
YJL140W	16	RPB4
YJR033C	16	RAV1
YKL020C	16	SPT23
YKL056C	16	TMA19
YKL081W	16	TEF4
YKR096W	16	ESL2
YKR100C	16	SKG1
YLR133W	16	CKI1
YLR423C	16	ATG17
YML001W	16	YPT7
YML013W	16	UBX2
YML048W	16	GSF2
YMR029C	16	FAR8
YMR052W	16	FAR3
YMR123W	16	PKR1
YNL001W	16	DOM34
YNL255C	16	GIS2
YNR032W	16	PPG1
YOL062C	16	APM4
YOR106W	16	VAM3
YOR171C	16	LCB4
YOR178C	16	GAC1
YOR243C	16	PUS7
YPL069C	16	BTS1
YBL017C	15	PEP1
YBL066C	15	SEF1
YDL192W	15	ARF1
YDL203C	15	ACK1
YDR108W	15	TRS85
YDR120C	15	TRM1
YDR126W	15	SWF1
YDR146C	15	SWI5
YDR312W	15	SSF2
YDR320C	15	SWA2
YDR477W	15	SNF1
YER083C	15	GET2
YGL005C	15	COG7
YGL020C	15	GET1
YGL049C	15	TIF4632
YGL115W	15	SNF4
YGR229C	15	SMI1
YHR012W	15	VPS29
YIL076W	15	SEC28
YJL053W	15	PEP8
YJL154C	15	VPS35
YJR118C	15	ILM1
YKL139W	15	CTK1
YKL212W	15	SAC1
YKR001C	15	VPS1
YKR019C	15	IRS4
YLR039C	15	RIC1
YML071C	15	COG8
YMR004W	15	MVP1
YNL041C	15	COG6
YNL051W	15	COG5
YOL018C	15	TLG2
YOR008C	15	SLG1
YOR068C	15	VAM10
YOR069W	15	VPS5
YOR070C	15	GYP1
YOR132W	15	VPS17
YOR327C	15	SNC2
YPL089C	15	RLM1
YPL158C	15	AIM44
YPR032W	15	SRO7
YBL088C	14	TEL1
YBR061C	14	TRM7
YBR160W	14	CDC28
YBR269C	14	SDH8
YBR281C	14	DUG2
YBR286W	14	APE3
YBR291C	14	CTP1
YBR295W	14	PCA1
YBR298C	14	MAL31
YCL001W-A	14	YCL001W-A
YCR020C	14	PET18
YCR024C-A	14	PMP1
YCR026C	14	NPP1
YCR050C	14	YCR050C
YCR061W	14	YCR061W
YCR087C-A	14	YCR087C-A
YDR059C	14	UBC5
YDR092W	14	UBC13
YGL035C	14	MIG1
YGL087C	14	MMS2
YGL232W	14	TAN1
YGR275W	14	RTT102
YHL002W	14	HSE1
YHL028W	14	WSC4
YIL029C	14	YIL029C
YIR001C	14	SGN1
