ORF	Gene	term
YEL056W	HAT2	chromatin remodeling
YER030W	CHZ1	chromatin remodeling
YER051W	JHD1	chromatin remodeling
YER088C	DOT6	chromatin remodeling
YFL013C	IES1	chromatin remodeling
YFR013W	IOC3	chromatin remodeling
YGL133W	ITC1	chromatin remodeling
YGL194C	HOS2	chromatin remodeling
YGR056W	RSC1	chromatin remodeling
YGR275W	RTT102	chromatin remodeling
YHL025W	SNF6	chromatin remodeling
YHR013C	ARD1	chromatin remodeling
YHR207C	SET5	chromatin remodeling
YIL084C	SDS3	chromatin remodeling
YIL112W	HOS4	chromatin remodeling
YJL065C	DLS1	chromatin remodeling
YJL176C	SWI3	chromatin remodeling
YJR082C	EAF6	chromatin remodeling
YJR119C	JHD2	chromatin remodeling
YKL185W	ASH1	chromatin remodeling
YKR029C	SET3	chromatin remodeling
YKR101W	SIR1	chromatin remodeling
YLR015W	BRE2	chromatin remodeling
YLR052W	IES3	chromatin remodeling
YLR085C	ARP6	chromatin remodeling
YLR095C	IOC2	chromatin remodeling
YLR315W	NKP2	chromatin remodeling
YLR357W	RSC2	chromatin remodeling
YLR385C	SWC7	chromatin remodeling
YLR449W	FPR4	chromatin remodeling
YLR455W	PDP3	chromatin remodeling
YML041C	VPS71	chromatin remodeling
YMR044W	IOC4	chromatin remodeling
YMR069W	NAT4	chromatin remodeling
YMR127C	SAS2	chromatin remodeling
YMR219W	ESC1	chromatin remodeling
YMR263W	SAP30	chromatin remodeling
YNL021W	HDA1	chromatin remodeling
YNL030W	HHF2	chromatin remodeling
YNL031C	HHT2	chromatin remodeling
YNL097C	PHO23	chromatin remodeling
YNL107W	YAF9	chromatin remodeling
YNL136W	EAF7	chromatin remodeling
YNL201C	PSY2	chromatin remodeling
YNL215W	IES2	chromatin remodeling
YNL246W	VPS75	chromatin remodeling
YOL012C	HTZ1	chromatin remodeling
YOL017W	ESC8	chromatin remodeling
YOL068C	HST1	chromatin remodeling
YOR025W	HST3	chromatin remodeling
YOR064C	YNG1	chromatin remodeling
YOR141C	ARP8	chromatin remodeling
YOR189W	IES4	chromatin remodeling
YOR213C	SAS5	chromatin remodeling
YOR279C	RFM1	chromatin remodeling
YOR304W	ISW2	chromatin remodeling
YPL001W	HAT1	chromatin remodeling
YPL015C	HST2	chromatin remodeling
YPL055C	LGE1	chromatin remodeling
YPL116W	HOS3	chromatin remodeling
YPL127C	HHO1	chromatin remodeling
YPL138C	SPP1	chromatin remodeling
YPL181W	CTI6	chromatin remodeling
YPR052C	NHP6A	chromatin remodeling
YPR068C	HOS1	chromatin remodeling
YPR179C	HDA3	chromatin remodeling
YPR193C	HPA2	chromatin remodeling
YDL088C	ASM4	nucleocytoplasmic transport
YDL115C	IWR1	nucleocytoplasmic transport
YIL149C	MLP2	nucleocytoplasmic transport
YJR074W	MOG1	nucleocytoplasmic transport
YML031W	NDC1	nucleocytoplasmic transport
YFR002W	NIC96	nucleocytoplasmic transport
YJR132W	NMD5	nucleocytoplasmic transport
YJL041W	NSP1	nucleocytoplasmic transport
YER009W	NTF2	nucleocytoplasmic transport
YOR098C	NUP1	nucleocytoplasmic transport
YKL068W	NUP100	nucleocytoplasmic transport
YMR047C	NUP116	nucleocytoplasmic transport
YKL057C	NUP120	nucleocytoplasmic transport
YKR082W	NUP133	nucleocytoplasmic transport
YGL092W	NUP145	nucleocytoplasmic transport
YER105C	NUP157	nucleocytoplasmic transport
YIL115C	NUP159	nucleocytoplasmic transport
YBL079W	NUP170	nucleocytoplasmic transport
YML103C	NUP188	nucleocytoplasmic transport
YLR335W	NUP2	nucleocytoplasmic transport
YDR192C	NUP42	nucleocytoplasmic transport
YGL172W	NUP49	nucleocytoplasmic transport
YMR153W	NUP53	nucleocytoplasmic transport
YGR119C	NUP57	nucleocytoplasmic transport
YAR002W	NUP60	nucleocytoplasmic transport
YJL061W	NUP82	nucleocytoplasmic transport
YDL116W	NUP84	nucleocytoplasmic transport
YJR042W	NUP85	nucleocytoplasmic transport
YMR129W	POM152	nucleocytoplasmic transport
YLR018C	POM34	nucleocytoplasmic transport
YLR208W	SEC13	nucleocytoplasmic transport
YGL100W	SEH1	nucleocytoplasmic transport
YDR395W	SXM1	nucleocytoplasmic transport
YBR165W	UBS1	nucleocytoplasmic transport
YJL049W	CHM7	ESCRT-LEM protein nuclear envelope surveillance system
YML034W	SRC1	ESCRT-LEM protein nuclear envelope surveillance system
YDR458C	HEH2	ESCRT-LEM protein nuclear envelope surveillance system
YKL041W	VPS24	ESCRT-LEM protein nuclear envelope surveillance system
YLR025W	SNF7	ESCRT-LEM protein nuclear envelope surveillance system
YKL002W	DID4	ESCRT-LEM protein nuclear envelope surveillance system
YMR077C	VPS20	ESCRT-LEM protein nuclear envelope surveillance system
YPR173C	VPS4	ESCRT-LEM protein nuclear envelope surveillance system
