ORF	Gene	gene_set	set_label
YIR010W	DSN1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDL003W	MCD1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR014W	RAD61	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJL074C	SMC3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJL074C	SMC3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPR135W	CTF4	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDL028C	MPS1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YIL144W	NDC80	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL086W	MAD1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJL030W	MAD2	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL093W	SPC105	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YOR026W	BUB3	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR140W	CBF2	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR140W	CBF2	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YAL021C	CCR4	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL008W	CHL1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR254W	CHL4	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YMR198W	CIK1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YMR078C	CTF18	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL018W	CTF19	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YLR381W	CTF3	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPR135W	CTF4	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YHR191C	CTF8	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR113W	DAM1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR113W	DAM1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR113W	DAM1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YIR010W	DSN1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YIR010W	DSN1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL061C	DUO1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YBR107C	IML3	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL209C	IPL1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL017C	IRC15	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPR141C	KAR3	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR439W	LRS4	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL086W	MAD1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJL030W	MAD2	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDL003W	MCD1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR318W	MCM21	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YKL089W	MIF2	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDL028C	MPS1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDL028C	MPS1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YML128C	MSC1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YBR195C	MSI1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YIL144W	NDC80	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJR112W	NNF1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL233W	NSL1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL233W	NSL1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR179C	OKP1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YER173W	RAD24	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR014W	RAD61	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR180W	SCC2	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YER147C	SCC4	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YBR156C	SLI15	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YFL008W	SMC1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YFL008W	SMC1	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJL074C	SMC3	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJL074C	SMC3	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL093W	SPC105	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL093W	SPC105	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR201W	SPC19	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YMR117C	SPC24	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YER018C	SPC25	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YLR272C	YCS4	pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJR083C	ACF4	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YMR092C	AIP1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YLR370C	ARC18	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YKL007W	CAP1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YIL034C	CAP2	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YBR109C	CMD1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YLL050C	COF1	pos corr with R108: actin	gene sets from clustering correlations of select mutants
YJR083C	ACF4	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL039C	ACT1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YMR092C	AIP1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YLR370C	ARC18	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YER114C	BOI2	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YKL007W	CAP1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YIL034C	CAP2	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YAL041W	CDC24	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YAL041W	CDC24	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YAL041W	CDC24	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YBR109C	CMD1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YLL050C	COF1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YBL105C	PKC1	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YNL138W	SRV2	pos corr with R108: actin and polarity	gene sets from clustering correlations of select mutants
YFL001W	DEG1	pos_with_R108: wobble base tRNA modification	gene sets from clustering correlations of select mutants
YGR200C	ELP2	pos_with_R108: wobble base tRNA modification	gene sets from clustering correlations of select mutants
YPL101W	ELP4	pos_with_R108: wobble base tRNA modification	gene sets from clustering correlations of select mutants
YHR187W	IKI1	pos_with_R108: wobble base tRNA modification	gene sets from clustering correlations of select mutants
YGR185C	TYS1	pos_with_R108: wobble base tRNA modification	gene sets from clustering correlations of select mutants
YHR111W	UBA4	pos_with_R108: wobble base tRNA modification	gene sets from clustering correlations of select mutants
YDL088C	ASM4	general nuclear transport	gene sets from clustering correlations of select mutants
YER107C	GLE2	general nuclear transport	gene sets from clustering correlations of select mutants
YER110C	KAP123	general nuclear transport	gene sets from clustering correlations of select mutants
YLR347C	KAP95	general nuclear transport	gene sets from clustering correlations of select mutants
YPL169C	MEX67	general nuclear transport	gene sets from clustering correlations of select mutants
YIL149C	MLP2	general nuclear transport	gene sets from clustering correlations of select mutants
YJR074W	MOG1	general nuclear transport	gene sets from clustering correlations of select mutants
YER009W	NTF2	general nuclear transport	gene sets from clustering correlations of select mutants
YER009W	NTF2	general nuclear transport	gene sets from clustering correlations of select mutants
YKR082W	NUP133	general nuclear transport	gene sets from clustering correlations of select mutants
YGL092W	NUP145	general nuclear transport	gene sets from clustering correlations of select mutants
YER105C	NUP157	general nuclear transport	gene sets from clustering correlations of select mutants
YML103C	NUP188	general nuclear transport	gene sets from clustering correlations of select mutants
YLR335W	NUP2	general nuclear transport	gene sets from clustering correlations of select mutants
YDR192C	NUP42	general nuclear transport	gene sets from clustering correlations of select mutants
YMR153W	NUP53	general nuclear transport	gene sets from clustering correlations of select mutants
YGR119C	NUP57	general nuclear transport	gene sets from clustering correlations of select mutants
YGR119C	NUP57	general nuclear transport	gene sets from clustering correlations of select mutants
YAR002W	NUP60	general nuclear transport	gene sets from clustering correlations of select mutants
YJL061W	NUP82	general nuclear transport	gene sets from clustering correlations of select mutants
YDL116W	NUP84	general nuclear transport	gene sets from clustering correlations of select mutants
YMR129W	POM152	general nuclear transport	gene sets from clustering correlations of select mutants
YLR018C	POM34	general nuclear transport	gene sets from clustering correlations of select mutants
YML034W	SRC1	general nuclear transport	gene sets from clustering correlations of select mutants
YGL097W	SRM1	general nuclear transport	gene sets from clustering correlations of select mutants
YGL097W	SRM1	general nuclear transport	gene sets from clustering correlations of select mutants
YAR002W	NUP60	nuclear pore central transport channel	tina hand-curated processes
YDL088C	ASM4	nuclear pore central transport channel	tina hand-curated processes
YDR192C	NUP42	nuclear pore central transport channel	tina hand-curated processes
YGL092W	NUP145	nuclear pore central transport channel	tina hand-curated processes
YGL172W	NUP49	nuclear pore central transport channel	tina hand-curated processes
YGL172W	NUP49	nuclear pore central transport channel	tina hand-curated processes
YGL172W	NUP49	nuclear pore central transport channel	tina hand-curated processes
YGR119C	NUP57	nuclear pore central transport channel	tina hand-curated processes
YGR119C	NUP57	nuclear pore central transport channel	tina hand-curated processes
YGR119C	NUP57	nuclear pore central transport channel	tina hand-curated processes
YIL115C	NUP159	nuclear pore central transport channel	tina hand-curated processes
YJL041W	NSP1	nuclear pore central transport channel	tina hand-curated processes
YJL041W	NSP1	nuclear pore central transport channel	tina hand-curated processes
YJL041W	NSP1	nuclear pore central transport channel	tina hand-curated processes
YKL068W	NUP100	nuclear pore central transport channel	tina hand-curated processes
YMR047C	NUP116	nuclear pore central transport channel	tina hand-curated processes
YMR153W	NUP53	nuclear pore central transport channel	tina hand-curated processes
YOR098C	NUP1	nuclear pore central transport channel	tina hand-curated processes
YLR131C	ACE2	mitotic exit	tina hand-curated processes
YBR158W	AMN1	mitotic exit	tina hand-curated processes
YJR053W	BFA1	mitotic exit	tina hand-curated processes
YER016W	BIM1	mitotic exit	tina hand-curated processes
YMR055C	BUB2	mitotic exit	tina hand-curated processes
YFR028C	CDC14	mitotic exit	tina hand-curated processes
YAR019C	CDC15	mitotic exit	tina hand-curated processes
YGL190C	CDC55	mitotic exit	tina hand-curated processes
YMR001C	CDC5	mitotic exit	tina hand-curated processes
YGL003C	CDH1	mitotic exit	tina hand-curated processes
YGR092W	DBF2	mitotic exit	tina hand-curated processes
YPR111W	DBF20	mitotic exit	tina hand-curated processes
YGR098C	ESP1	mitotic exit	tina hand-curated processes
YPL209C	IPL1	mitotic exit	tina hand-curated processes
YHR158C	KEL1	mitotic exit	tina hand-curated processes
YGR238C	KEL2	mitotic exit	tina hand-curated processes
YOR233W	KIN4	mitotic exit	tina hand-curated processes
YAL024C	LTE1	mitotic exit	tina hand-curated processes
YIL106W	MOB1	mitotic exit	tina hand-curated processes
YDL028C	MPS1	mitotic exit	tina hand-curated processes
YHR124W	NDT80	mitotic exit	tina hand-curated processes
YJL076W	NET1	mitotic exit	tina hand-curated processes
YDL042C	SIR2	mitotic exit	tina hand-curated processes
YNR009W	NRM1	mitotic exit	tina hand-curated processes
YOR373W	NUD1	mitotic exit	tina hand-curated processes
YDL089W	NUR1	mitotic exit	tina hand-curated processes
YDR113C	PDS1	mitotic exit	tina hand-curated processes
YHR152W	SPO12	mitotic exit	tina hand-curated processes
YDR260C	SWM1	mitotic exit	tina hand-curated processes
YDR260C	TEM1	mitotic exit	tina hand-curated processes
YMR273C	ZDS1	mitotic exit	tina hand-curated processes
YML109W	ZDS2	mitotic exit	tina hand-curated processes
YDR101C	ARX1	general nuclear export	tina hand-curated processes
YDR361C	BCP1	general nuclear export	tina hand-curated processes
YLR074C	BUD20	general nuclear export	tina hand-curated processes
YCR047C	BUD23	general nuclear export	tina hand-curated processes
YOR112W	CEX1	general nuclear export	tina hand-curated processes
YGL238W	CSE1	general nuclear export	tina hand-curated processes
YGR218W	CRM1	general nuclear export	tina hand-curated processes
YDL207W	GLE1	general nuclear export	tina hand-curated processes
YER107C	GLE2	general nuclear export	tina hand-curated processes
YKL205W	LOS1	general nuclear export	tina hand-curated processes
YDR060W	MAK21	general nuclear export	tina hand-curated processes
YLR368W	MDM30	general nuclear export	tina hand-curated processes
YGR264C	MES1	general nuclear export	tina hand-curated processes
YPL169C	MEX67	general nuclear export	tina hand-curated processes
YHR015W	MIP6	general nuclear export	tina hand-curated processes
YDR335W	MSN5	general nuclear export	tina hand-curated processes
YOR160W	MTR10	general nuclear export	tina hand-curated processes
YKL186C	MTR2	general nuclear export	tina hand-curated processes
YGL122C	NAB2	general nuclear export	tina hand-curated processes
YHR170W	NMD3	general nuclear export	tina hand-curated processes
YPR144C	NOC4	general nuclear export	tina hand-curated processes
YNR053C	NOG2	general nuclear export	tina hand-curated processes
YDL148C	NOP14	general nuclear export	tina hand-curated processes
YER006W	NUG1	general nuclear export	tina hand-curated processes
YKR002W	PAP1	general nuclear export	tina hand-curated processes
YPL212C	PUS1	general nuclear export	tina hand-curated processes
YLR106C	REA1	general nuclear export	tina hand-curated processes
YLL034C	RIX7	general nuclear export	tina hand-curated processes
YPL012W	RRP12	general nuclear export	tina hand-curated processes
YOR294W	RRS1	general nuclear export	tina hand-curated processes
YDR159W	SAC3	general nuclear export	tina hand-curated processes
YDL084W	SUB2	general nuclear export	tina hand-curated processes
YBR111W-A	SUS1	general nuclear export	tina hand-curated processes
YOL072W	THP1	general nuclear export	tina hand-curated processes
