ORF	cluster	gene_name
YIL084C	transcription and mRNA processing_GO_6	SDS3
YIL131C	transcription and mRNA processing_GO_6	FKH1
YJR066W	transcription and mRNA processing_GO_6	TOR1
YLR418C	transcription and mRNA processing_GO_6	CDC73
YMR263W	transcription and mRNA processing_GO_6	SAP30
YNL027W	transcription and mRNA processing_GO_6	CRZ1
YNL068C	transcription and mRNA processing_GO_6	FKH2
YNL097C	transcription and mRNA processing_GO_6	PHO23
YNR010W	transcription and mRNA processing_GO_6	CSE2
YOL004W	transcription and mRNA processing_GO_6	SIN3
YOL108C	transcription and mRNA processing_GO_6	INO4
YPL139C	transcription and mRNA processing_GO_6	UME1
YPL181W	transcription and mRNA processing_GO_6	CTI6
YPR045C	transcription and mRNA processing_GO_6	THP3
YPR070W	transcription and mRNA processing_GO_6	MED1
YBR022W	transcription and mRNA processing_GO_5	POA1
YBR034C	transcription and mRNA processing_GO_5	HMT1
YBR245C	transcription and mRNA processing_GO_5	ISW1
YBR289W	transcription and mRNA processing_GO_5	SNF5
YDR073W	transcription and mRNA processing_GO_5	SNF11
YDR173C	transcription and mRNA processing_GO_5	ARG82
YDR463W	transcription and mRNA processing_GO_5	STP1
YEL015W	transcription and mRNA processing_GO_5	EDC3
YFL049W	transcription and mRNA processing_GO_5	SWP82
YGL019W	transcription and mRNA processing_GO_5	CKB1
YGR056W	transcription and mRNA processing_GO_5	RSC1
YHL025W	transcription and mRNA processing_GO_5	SNF6
YHR082C	transcription and mRNA processing_GO_5	KSP1
YHR178W	transcription and mRNA processing_GO_5	STB5
YIL036W	transcription and mRNA processing_GO_5	CST6
YIL038C	transcription and mRNA processing_GO_5	NOT3
YJL098W	transcription and mRNA processing_GO_5	SAP185
YJL176C	transcription and mRNA processing_GO_5	SWI3
YKL149C	transcription and mRNA processing_GO_5	DBR1
YKL185W	transcription and mRNA processing_GO_5	ASH1
YLL019C	transcription and mRNA processing_GO_5	KNS1
YML121W	transcription and mRNA processing_GO_5	GTR1
YMR042W	transcription and mRNA processing_GO_5	ARG80
YMR216C	transcription and mRNA processing_GO_5	SKY1
YMR283C	transcription and mRNA processing_GO_5	RIT1
YNL278W	transcription and mRNA processing_GO_5	CAF120
YOL115W	transcription and mRNA processing_GO_5	PAP2
YOR039W	transcription and mRNA processing_GO_5	CKB2
YOR061W	transcription and mRNA processing_GO_5	CKA2
YOR113W	transcription and mRNA processing_GO_5	AZF1
YOR179C	transcription and mRNA processing_GO_5	SYC1
YOR344C	transcription and mRNA processing_GO_5	TYE7
YPL184C	transcription and mRNA processing_GO_5	MRN1
YAL021C	transcription and mRNA processing_GO_4	CCR4
YAL051W	transcription and mRNA processing_GO_4	OAF1
YBR119W	transcription and mRNA processing_GO_4	MUD1
YCL011C	transcription and mRNA processing_GO_4	GBP2
YCR031C	transcription and mRNA processing_GO_4	RPS14A
YDR009W	transcription and mRNA processing_GO_4	GAL3
YDR083W	transcription and mRNA processing_GO_4	RRP8
YDR155C	transcription and mRNA processing_GO_4	CPR1
YDR156W	transcription and mRNA processing_GO_4	RPA14
YDR174W	transcription and mRNA processing_GO_4	HMO1
YDR443C	transcription and mRNA processing_GO_4	SSN2
YDR496C	transcription and mRNA processing_GO_4	PUF6
YER177W	transcription and mRNA processing_GO_4	BMH1
YGL174W	transcription and mRNA processing_GO_4	BUD13
YGR054W	transcription and mRNA processing_GO_4	YGR054W
YGR134W	transcription and mRNA processing_GO_4	CAF130
YIR005W	transcription and mRNA processing_GO_4	IST3
YJL103C	transcription and mRNA processing_GO_4	GSM1
YJL140W	transcription and mRNA processing_GO_4	RPB4
YJL148W	transcription and mRNA processing_GO_4	RPA34
YKL020C	transcription and mRNA processing_GO_4	SPT23
YKL074C	transcription and mRNA processing_GO_4	MUD2
YKR099W	transcription and mRNA processing_GO_4	BAS1
YLR182W	transcription and mRNA processing_GO_4	SWI6
YNL025C	transcription and mRNA processing_GO_4	SSN8
YNR004W	transcription and mRNA processing_GO_4	SWM2
YOL001W	transcription and mRNA processing_GO_4	PHO80
YOR064C	transcription and mRNA processing_GO_4	YNG1
YOR308C	transcription and mRNA processing_GO_4	SNU66
YPL116W	transcription and mRNA processing_GO_4	HOS3
YPL157W	transcription and mRNA processing_GO_4	TGS1
YPL213W	transcription and mRNA processing_GO_4	LEA1
YPR009W	transcription and mRNA processing_GO_4	SUT2
YPR057W	transcription and mRNA processing_GO_4	BRR1
YAL020C	transcription and mRNA processing_GO_3	ATS1
YBL008W	transcription and mRNA processing_GO_3	HIR1
YBL024W	transcription and mRNA processing_GO_3	NCL1
YBL051C	transcription and mRNA processing_GO_3	PIN4
YBR215W	transcription and mRNA processing_GO_3	HPC2
YDL033C	transcription and mRNA processing_GO_3	SLM3
YDL080C	transcription and mRNA processing_GO_3	THI3
