cluster	query_uniq1	query_ORF1
rRNA processing	BFR2_tsq1421	YDR299W
rRNA processing	BMT6_dma3147	YLR063W
rRNA processing	BMT6_sn3482	YLR063W
rRNA processing	BUD21_dma4495	YOR078W
rRNA processing	BUD21_sn3921	YOR078W
rRNA processing	CSL4_tsq1379	YNL232W
rRNA processing	DBP10_tsq1724	YDL031W
rRNA processing	DBP10_tsq1727	YDL031W
rRNA processing	DBP10_tsq1729	YDL031W
rRNA processing	DBP10_tsq1731	YDL031W
rRNA processing	DBP2_tsq2236	YNL112W
rRNA processing	DBP2_tsq2237	YNL112W
rRNA processing	DBP2_tsq2238	YNL112W
rRNA processing	DBP2_tsq2239	YNL112W
rRNA processing	DBP3_dma1651	YGL078C
rRNA processing	DBP6_tsa1165	YNR038W
rRNA processing	DBP6_tsq1402	YNR038W
rRNA processing	DBP7_dma2929	YKR024C
rRNA processing	DBP7_sn1681	YKR024C
rRNA processing	DBP9_damp788	YLR276C
rRNA processing	DBP9_tsa1148	YLR276C
rRNA processing	DBP9_tsq1461	YLR276C
rRNA processing	DHR2_damp691	YKL078W
rRNA processing	DIM1_damp1056	YPL266W
rRNA processing	DIM1_tsa984	YPL266W
rRNA processing	DIM1_tsq986	YPL266W
rRNA processing	DIP2_tsq1346	YLR129W
rRNA processing	DIS3_damp933	YOL021C
rRNA processing	DIS3_tsq1032	YOL021C
rRNA processing	DRS1_tsq2093	YLL008W
rRNA processing	DRS1_tsq2094	YLL008W
rRNA processing	EBP2_tsq529	YKL172W
rRNA processing	EMG1_damp772	YLR186W
rRNA processing	EMG1_tsa1056	YLR186W
rRNA processing	EMG1_tsa1141	YLR186W
rRNA processing	EMG1_tsq1058	YLR186W
rRNA processing	EMG1_tsq1384	YLR186W
rRNA processing	ENP2_tsq1947	YGR145W
rRNA processing	ERB1_tsa1102	YMR049C
rRNA processing	ERB1_tsq1331	YMR049C
rRNA processing	ESF1_tsq1786	YDR365C
rRNA processing	ESF2_tsq2285	YNR054C
rRNA processing	ESF2_tsq2286	YNR054C
rRNA processing	FAF1_tsq1993	YIL019W
rRNA processing	FAL1_damp317	YDR021W
rRNA processing	FAL1_tsa728	YDR021W
rRNA processing	FAL1_tsq1162	YDR021W
rRNA processing	FCF1_tsq1418	YDR339C
rRNA processing	FCF2_damp747	YLR051C
rRNA processing	FYV7_sn3919	YLR068W
rRNA processing	GEP3_sn2522	YOR205C
rRNA processing	GLC7_damp441	YER133W
rRNA processing	GRC3_tsa1167	YLL035W
rRNA processing	HAS1_tsq1380	YMR290C
rRNA processing	HCA4_tsq2048	YJL033W
rRNA processing	HCA4_tsq2055	YJL033W
rRNA processing	HCR1_dma3257	YLR192C
rRNA processing	HCR1_sn4139	YLR192C
rRNA processing	HIT1_sn649	YJR055W
rRNA processing	IPI1_tsa1217	YHR085W
rRNA processing	IPI1_tsq1410	YHR085W
rRNA processing	IPI3_tsq1442	YNL182C
rRNA processing	JJJ1_sn166	YNL227C
rRNA processing	KRR1_tsa326	YCL059C
rRNA processing	KRR1_tsq1104	YCL059C
rRNA processing	KRR1_tsq326	YCL059C
rRNA processing	LAS1_tsq2092	YKR063C
rRNA processing	LCP5_tsq1834	YER127W
rRNA processing	LCP5_tsq1836	YER127W
rRNA processing	LRP1_dma2126	YHR081W
rRNA processing	LSM6_dma1114	YDR378C
rRNA processing	LSM6_sn1903	YDR378C
rRNA processing	LSM7_dma5339	YNL147W
rRNA processing	LSM7_sn1904	YNL147W
rRNA processing	MAK11_tsa1097	YKL021C
rRNA processing	MAK11_tsq1048	YKL021C
rRNA processing	MAK16_damp1	YAL025C
rRNA processing	MAK16_tsa1066	YAL025C
rRNA processing	MAK16_tsq1295	YAL025C
rRNA processing	MAK5_tsa1109	YBR142W
rRNA processing	MAK5_tsq1361	YBR142W
rRNA processing	MOT1_tsa363	YPL082C
rRNA processing	MOT1_tsq1109	YPL082C
rRNA processing	MRM1_sn4176	YOR201C
rRNA processing	MRM2_dma1690	YGL136C
rRNA processing	MRT4_dma2759	YKL009W
rRNA processing	MRT4_sn4188	YKL009W
rRNA processing	MTR3_tsa614	YGR158C
rRNA processing	MTR3_tsq1135	YGR158C
rRNA processing	MTR4_tsa431	YJL050W
rRNA processing	MTR4_tsq431	YJL050W
rRNA processing	NGL2_dma3899	YMR285C
rRNA processing	NGL2_sn2066	YMR285C
rRNA processing	NHP2_damp308	YDL208W
rRNA processing	NHP2_tsq1406	YDL208W
rRNA processing	NIP7_tsa114	YPL211W
rRNA processing	NIP7_tsq114	YPL211W
rRNA processing	NOB1_damp146	YOR056C
rRNA processing	NOC3_damp737	YLR002C
rRNA processing	NOC3_tsq1397	YLR002C
rRNA processing	NOC4_damp1082	YPR144C
rRNA processing	NOP1_tsq1179	YDL014W
rRNA processing	NOP12_dma4312	YOL041C
rRNA processing	NOP14_tsa1234	YDL148C
rRNA processing	NOP2_tsa624	YNL061W
rRNA processing	NOP2_tsa630	YNL061W
rRNA processing	NOP2_tsq1139	YNL061W
rRNA processing	NOP2_tsq1217	YNL061W
rRNA processing	NOP2_tsq624	YNL061W
rRNA processing	NOP2_tsq630	YNL061W
rRNA processing	NOP4_tsq660	YPL043W
rRNA processing	NOP56_tsq1459	YLR197W
rRNA processing	NOP58_damp1007	YOR310C
rRNA processing	NOP7_tsa447	YGR103W
